name,visited,rating,href,Mon,Tue,Wed,Thu,Fri,Sat,Sun,latitude,longitude
Papa’s Kitchen,false,4.4 ,/biz/papas-kitchen-san-francisco?osq=Restaurants,11:00 AM - 9:00 PM,Closed,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,37.769418,-122.450939
Dumpling Kitchen,false,4.3 ,/biz/dumpling-kitchen-san-francisco-5?osq=Restaurants,11:00 AM - 3:00 PM,Closed,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,37.76014,-122.435191
Breadbelly,false,4.5 ,/biz/breadbelly-san-francisco?osq=Restaurants,9:00 AM - 2:00 PM,Closed,Closed,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,37.782701,-122.474404
Surisan,false,4.3 ,/biz/surisan-san-francisco?osq=Restaurants,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,37.806798,-122.41757
Ushi Taro Ramen,false,4.3 ,/biz/ushi-taro-ramen-san-francisco-3?osq=Restaurants,Closed,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,37.762546,-122.466103
STOA,false,4.6 ,/biz/stoa-san-francisco?osq=Restaurants,4:00 PM - 11:00 PM,Closed,Closed,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 11:00 PM,37.771577,-122.433866
Woodhouse Fish,false,4.1 ,/biz/woodhouse-fish-san-francisco-4?osq=Restaurants,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:00 PM,37.78747,-122.433396
LaLe,false,4.2 ,/biz/lale-san-francisco-2?osq=Restaurants,10:00 AM - 4:30 PM,Closed,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,37.763835,-122.465809
Flores San Francisco,false,4.1 ,/biz/flores-san-francisco-san-francisco?osq=Restaurants,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 9:30 PM,37.797616,-122.432581
San Ho Won,false,4.6 ,/biz/san-ho-won-san-francisco-2?osq=Restaurants,Closed,Closed,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 9:30 PM,37.759613,-122.410247
Fiorella - Sunset,false,4.1 ,/biz/fiorella-sunset-san-francisco-3?osq=Restaurants,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,37.765158,-122.466196
Chaska Restaurant,false,4.7 ,/biz/chaska-restaurant-san-francisco?osq=Restaurants,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,2:00 PM - 10:00 PM,37.780827,-122.474432
Besharam,false,3.8 ,/biz/besharam-san-francisco?osq=Restaurants,Closed,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,37.754195,-122.389735
Ragazza,false,4.1 ,/biz/ragazza-san-francisco?osq=Restaurants,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,37.772476,-122.437473
Perilla,false,4.0 ,/biz/perilla-san-francisco-2?osq=Restaurants,11:00 AM - 9:00 PM,Closed,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,37.764171,-122.467135
Corks,false,4.7 ,/biz/corks-san-francisco?osq=Restaurants,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,37.785263,-122.464261
Collina,false,4.9 ,/biz/collina-san-francisco?osq=Restaurants,5:00 PM - 9:00 PM,Closed,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:00 PM,37.795316,-122.418161
Jane on Fillmore,false,3.9 ,/biz/jane-on-fillmore-san-francisco-2?osq=Restaurants,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,37.789365,-122.434075
MaMo,false,4.4 ,/biz/mamo-san-francisco?osq=Restaurants,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,37.803832,-122.433683
Emmita’s Cafe,false,4.7 ,/biz/emmitas-cafe-san-francisco?osq=Restaurants,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,Closed,Closed,37.784588,-122.440089
Freekeh,false,4.7 ,/biz/freekeh-san-francisco?osq=Restaurants,Closed,5:30 PM - 9:00 PM,5:30 PM - 9:00 PM,5:30 PM - 9:00 PM,5:30 PM - 9:30 PM,5:30 PM - 9:30 PM,5:30 PM - 9:00 PM,37.765101,-122.422644
Mama Mu’s Bistro,false,5.0 ,/biz/mama-mus-bistro-san-francisco?osq=Restaurants,11:00 AM - 3:00 PM,Closed,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,37.754323,-122.477948
Sikdang Woori,false,4.6 ,/biz/sikdang-woori-san-francisco-2?osq=Restaurants,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,12:00 PM - 2:30 PM,37.783544,-122.432435
Peacock Pansy,false,4.5 ,/biz/peacock-pansy-san-francisco?osq=Restaurants,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 2:00 PM,9:00 AM - 2:30 PM,9:00 AM - 2:30 PM,37.77888,-122.423255
Hayz Dog,false,4.7 ,/biz/hayz-dog-san-francisco?osq=Restaurants,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 9:00 PM,37.77726,-122.422384
Saucy Asian,false,4.3 ,/biz/saucy-asian-san-francisco-2?osq=Restaurants,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,37.762627,-122.430923
Anchor Oyster Bar,false,4.5 ,/biz/anchor-oyster-bar-san-francisco?osq=Restaurants,2:00 PM - 8:00 PM,Closed,Closed,2:00 PM - 8:00 PM,2:00 PM - 8:00 PM,2:00 PM - 8:00 PM,2:00 PM - 8:00 PM,37.759702,-122.434761
Dabao Singapore,false,4.8 ,/biz/dabao-singapore-san-francisco?osq=Restaurants,Closed,Closed,3:30 PM - 4:15 PM,Closed,3:30 PM - 3:45 PM,4:00 PM - 4:30 PM,Closed,37.750895,-122.388145
Hu Tong Jian Bing,false,4.1 ,/biz/hu-tong-jian-bing-san-francisco?osq=Restaurants,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:30 PM,11:00 AM - 6:30 PM,37.760706,-122.388383
Four Chairs,false,4.4 ,/biz/four-chairs-san-francisco?osq=Restaurants,10:00 AM - 2:30 PM,Closed,10:00 AM - 2:30 PM,10:00 AM - 2:30 PM,10:00 AM - 2:30 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,37.744446,-122.421004
Cracked &amp; Battered - Marina,false,4.6 ,/biz/cracked-and-battered-marina-san-francisco?osq=Restaurants,8:30 AM - 2:00 PM,8:30 AM - 2:00 PM,8:30 AM - 2:00 PM,8:30 AM - 2:00 PM,8:30 AM - 2:00 PM,8:30 AM - 2:00 PM,8:30 AM - 2:00 PM,37.800466,-122.440206
Mangrove Kitchen,false,4.0 ,/biz/mangrove-kitchen-san-francisco?osq=Restaurants,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,37.772514,-122.437014
Chome,false,4.6 ,/biz/chome-san-francisco-3?osq=Restaurants,Closed,Closed,5:00 PM - 11:30 PM,5:00 PM - 12:00 AM (Next day),5:00 PM - 12:00 AM (Next day),5:00 PM - 12:00 AM (Next day),5:00 PM - 12:00 AM (Next day),37.762036,-122.419184
